id_index,Predicted condition,25,55,85
2351,4.369000000000006,0.9753444355965516,0.6557418754060068,0.1992759637468904
1353,7.850000000000014,0.9753444355965516,0.6557418754060068,0.1992759637468904
1747,4.8419999999999925,0.9763296461570216,0.6805669620296135,0.1854332137032597
163,7.850000000000014,0.9825335991459412,0.6505226000543523,0.1955398511852091
1633,8.424999999999994,0.8713036499205621,0.6707693987613078,0.2261128514333433
2088,7.150000000000007,0.8713036499205621,0.6707693987613078,0.2261128514333433
2080,7.850000000000014,0.9753444355965516,0.6557418754060068,0.1992759637468904
1893,7.710799999999999,0.9753444355965516,0.6557418754060068,0.1992759637468904
526,5.215500000000004,0.9753444355965516,0.6557418754060068,0.1992759637468904
416,8.438500000000001,0.9632893805457612,0.7059354949174609,0.1807881239676426
1658,8.283000000000001,0.9763296461570216,0.6805669620296135,0.1854332137032597
1262,7.428000000000001,0.9753444355965516,0.6557418754060068,0.1992759637468904
190,7.883000000000013,0.9825335991459412,0.6505226000543523,0.1955398511852091
235,4.041000000000007,0.9753444355965516,0.6557418754060068,0.1992759637468904
885,8.476,0.9763296461570216,0.6805669620296135,0.1854332137032597
1107,7.514800000000001,0.9753444355965516,0.6557418754060068,0.1992759637468904
573,6.405999999999999,0.9632893805457612,0.7059354949174609,0.1807881239676426
1780,4.467999999999999,0.9753444355965516,0.6557418754060068,0.1992759637468904
1922,6.264500000000004,0.9753444355965516,0.6557418754060068,0.1992759637468904
1125,8.3824,0.9632893805457612,0.7059354949174609,0.1807881239676426
2579,6.591000000000001,0.8713036499205621,0.6707693987613078,0.2261128514333433
1077,6.667999999999998,0.9825335991459412,0.6505226000543523,0.1955398511852091
774,7.75,0.9779416081329422,0.6609205354986126,0.2741277220398004
2320,7.267,0.9753444355965516,0.6557418754060068,0.1992759637468904
826,5.437499999999996,0.9753444355965516,0.6557418754060068,0.1992759637468904
2153,8.456,0.9763296461570216,0.6805669620296135,0.1854332137032597
1438,7.560000000000002,0.9632893805457612,0.7059354949174609,0.1807881239676426
