Label,PRESSURE_ZONE,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,shallow_main,Condition_score,OVERSIZED,CLEANED,Shape__Length,Installation_Month,Installation_Year,Break_Time
0,KIT 5,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,29,N,N,9.35,N,Y,11.8502757175763,6,1999,25.0
0,KIT 5,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,29,N,N,9.35,N,Y,65.7818252857608,6,1999,25.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,6,1,26,N,N,9.1,N,N,58.6612951351087,1,1982,42.0
0,KIT 4,TREATED,300,CI,NO,NONE,PURCHASED,KITCHENER,N,7,4,22,N,N,7.75,N,Y,115.120916283571,1,1959,65.0
1,KIT 5,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,6,21,N,N,5.55,N,N,179.030165540328,1,1974,32.0
0,KIT 5,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,26,N,N,9.35,N,Y,27.4392258151432,6,2003,21.0
0,KIT 4,TREATED,200,DI,NO,NONE,DONATED,KITCHENER,N,5,3,1,N,N,8.5,N,N,71.8348800689085,1,1968,56.0
0,KIT 2W,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,6,5,39,N,N,9.35,N,N,110.114653450007,8,2011,13.0
1,KIT 6,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,6,2,N,N,5.3,N,Y,74.0688567404274,5,1978,44.0
0,KIT 4,TREATED,100,DI,NO,NONE,DONATED,KITCHENER,N,5,3,6,N,N,8.5,N,N,55.731728927169,1,1973,51.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,5,24,N,N,8.5,N,N,5.03239160675998,12,1976,48.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,5,24,N,N,8.5,N,N,10.1987087576459,12,1976,48.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,2,36,N,N,7.75,N,N,111.705600416694,1,1952,72.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,5,4,12,N,N,8.5,N,Y,98.2380811195465,8,1981,43.0
0,KIT 4,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,4,32,N,N,9.35,N,Y,0.844150698162107,1,1995,29.0
0,KIT 4,TREATED,100,CI,NO,NONE,PURCHASED,KITCHENER,N,6,2,29,N,N,7.75,N,N,5.47369546851907,1,1916,108.0
0,KIT 4,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,6,4,32,N,N,9.35,N,Y,84.7939251680768,2,2006,18.0
0,KIT 4,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,6,3,16,N,N,9.35,N,N,130.621913173938,11,2003,21.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,4,22,N,Y,3.7,N,Y,67.2162984898593,1,1961,53.0
0,KIT 2W,TREATED,450,DI,NO,NONE,PURCHASED,DUAL CITY AND REGION,N,6,5,0,N,N,8.5,N,N,149.043673003193,7,1969,55.0
0,KIT 5,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,7,6,31,N,N,9.35,N,Y,86.9357056711315,6,1997,27.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,4,24,N,N,9.1,N,Y,14.7299987083692,6,1985,39.0
0,KIT 4,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,3,N,N,9.35,N,N,10.6135965980119,4,2001,23.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,4,24,N,N,4.65,N,Y,98.541808520626,1,1967,45.0
